Comp,RIOTs,Evidence,Assessment,Criteria
"5.3.1.6 Understand 
basic principles of 
external beam 
monitor unit and 
treatment time 
calculations","o  MSc coursework 
o  Tutorials 
o  Read and summarise the literature [e.g. Mayles 
Ch. 23.3 , Khan Ch. , ESTRO Booklets 3 and 10, 
AAPM TG 114] 
o  Read departmental planning protocols 
o  Review the planning data book 
o  Perform MU calculations for simple cases. 
o  Report on a different MU calculation method 
(e.g. from another department or the literature) 
o  Participate in measurement of data for MU 
calculations 
o  Patient case studies, focusing on MU 
calculations and checks 
o  Problem Based Learning scenarios – small 
group discussion","o  MSc coursework, 
o 
Short report. 
o  Logbook notes 
o  MU calculation 
examples","o  RPL 
o  Q&A session with 
assessor","o  Describes how patient dose is related to absorbed dose 
under reference conditions via monitor unit or treatment 
time calculations 
o  For at least two different formalisms, one of which is the 
formalism used in the registrar’s department, describes 
equations used for monitor unit and treatment time 
calculations for kV photon, MV photon and MeV electron 
fields 
o  Defines all factors in the equations, describes how they are 
determined and describes how they relate to reference 
conditions 
o  Applies equations to simple SSD and isocentric MU and time 
calculation cases, including single fields and opposed pairs. 
o  Aware of methods for MU and time calculation for different 
treatment techniques, including standard photon (SSD and 
isocentric) and electron techniques, and specialist  
techniques such as IMRT, VMAT, TBI and TSET 
o  Aware of limitations in MU and treatment time calculations"
"1.1.2.1 Compare the 
decision making 
process for cancer 
management",o  As for 1.1.1.2,o  As for 1.1.1.2,o  As for 1.1.1.2,"o  Discusses the utility, pros and cons of the major methods 
(surgery, chemotherapy, radiation therapy) in the 
management of cancer, and other therapy approaches such 
as: 
o  hormonal therapy 
o 
immunotherapy 
o  watchful waiting 
o  palliative care 
o  combined therapies 
o 
targeted therapies"
"4.5.1.1 Understand 
the physical 
principles and 
operation of CT 
scanners used for 
radiotherapy 
imaging","o  MSc coursework. 
o  Read and summarise references. 
o  Observe installation, repair, maintenance and 
QA of CT. 
o  Observe CT patient imaging for treatment 
planning","o  MSc coursework.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Explains the physics of CT x-ray production and typical beam 
energies used for radiotherapy imaging 
o  Explains how CT images are formed 
o  Explains image acquisition and handling, storage, fusion and 
planning applications; 3D and 4D 
o  Describes typical CT configuration (block diagram) 
o  Explains factors impacting on image formation, such as, 
helical or axial scanning, slice width, pitch, beam kV & mA, 
spot size,  
o  Describes CT safety systems 
o  Electrical, mechanical and radiation 
o  Describes relationship between CT imaging plane, couch 
movement axes and treatment isocentre 
o  Identifies requirements of CT scanners used for radiotherapy 
imaging, such as, bore size, flat couch top, lasers 
o  Defines Hounsfield Units and explains their relationship to 
electron density, atomic number and beam energy 
o  Sketches typical HU vs. electron density curve and explains 
its shape"
"2.4.1.1 Identify all 
sources in the 
department","o  Make an inventory of all sources in the 
department","o 
Source inventory","o  Assessor review 
of inventory 
o  Q&A session with 
assessor","o 
Identifies all sources defined in legislation.  
o 
Inventory includes: 
o 
types of emitter 
o  energy"
"2.4.1.2 Identify key 
legislative 
requirements for 
management of 
radioactive sources","o  Read and summarize legislative requirements 
(including transport, security, custody and 
disposal of sources)","o  MSc 
o 
Short report","o  RPL 
o  Assessor review 
of report","o  Correctly identifies all key requirements 
o  Understands the need for legislative requirements 
o 
Identifies risks associated with different types of radioactive 
sources with reference to IAEA safety report 47"
"2.4.1.3 Relate 
departmental 
procedures for 
management of 
radioactive sources 
to legislative 
requirements","o  Compare departmental procedures with 
legislative requirements. 
o  Review spill procedures  
o  Review contingency procedures e.g. 
fire/flood/security breach","o  Table comparing 
departmental and 
legislative 
procedures","o  Q&A session with 
assessor","o 
Identifies all procedures 
o  Understands the purpose of the management procedures  
o 
Identifies links between legislation and departmental 
procedures"
"2.4.1.4 Demonstrate 
an understanding of 
principles of 
contamination 
meters","o  MSc 
o  Read and summarize references 
o  Attend training day / tutorial","o  MSc course notes 
o  Report","o  RPL 
o  Q&A session with 
assessor","o  Understands how to determine type of emitter from an 
unknown radioactive source   
o 
Identifies risks and hazards"
"2.4.2.1 Perform leak 
tests on radioactive 
sources","o  Perform leak tests on sources (e.g. brachy 
sources or Sr-90 check sources) according to 
existing protocols. 
o  Perform a contamination survey of a potentially 
contaminated object or area. 
o  Perform appropriate source handling 
techniques.","o  Log book notes or 
QA records","o  Demonstration to 
assessor","o  Meets general criteria for practical work. 
o  Chooses appropriate detector, considering: 
o  sensitivity 
o  energy response 
o  particle 
o  Uses correct procedure in determining a source in a 
contamination survey 
o  Takes appropriate action in response to findings. 
o  Demonstrates appropriate source handling techniques"
"2.4.2.2 Maintain a 
source inventory","o  Update source inventory records according to 
existing protocols (including delivery of new 
sources and disposal of old sources) 
o  Perform an annual source audit","o 
Source inventory 
records","o  Review of 
inventory by 
assessor","o 
Source inventory managed correctly: 
o  all sources identified, and presence confirmed 
o 
tracking of incoming and outgoing sources 
o  Takes appropriate action to store, dispose and return 
sources. 
o  Follows up any discrepancies with the inventory."
"6.4.2.2 Analyze the 
uncertainty 
associated with the 
use of imaging 
systems for HDR 
brachytherapy","o  Literature review 
o  Assessment of all imaging modalities for 
sources of random and systematic error for the 
following; 
o  Planar x-rays 
o  CT 
o  MRI 
o  US 
o  Compare and contrast imaging for 
gynaecological and prostate cancer in terms of 
reproducibility and uncertainty",o  Written report,"o  Assessor review 
of report.  Q & A 
with assessor. 
o  Assessment can 
be literature or 
practical based.","o 
Identifies key sources of uncertainty for each of the 
following imaging modalities 
o  Planar x-rays 
o  CT 
o  MRI 
o  US 
o  Calculates realistic estimate of uncertainty 
o 
Identifies how uncertainty in particular measurement 
affects overall patient dose delivery 
o 
Suggests methods to reduce uncertainty"
"7.4.1.1 Understand 
basic principles of 
teaching and training","o  Attend a course on how to provide effective 
training 
o  Review and report on a range of educational 
topics such as: 
o  Models of learning 
o  Differences in learning styles 
o  Competency based training 
o  Differences between group and individual 
learning 
o  How to give effective feedback 
o  How to motivate learners 
o  Principles of adult learning 
o  Assessment principles and methods 
o  Review and report on the education, training 
and assessment requirements of TEAP 
o  Write an essay or keep a journal reflecting on 
your own experiences of training, both as a 
trainee and as a trainer 
o  Read some of the following talks 
http://www.aapm.org/meetings/2010SS/Prog
ramInfo.asp","o  Attendance 
records and/or 
certificate of 
completion in 
training course 
o  Reflective journal 
o 
Short report","o  RPL 
o  Review of 
evidence and Q&A 
with Assessor","o  Describes different learning and teaching styles and 
methods, including their own 
o  Describes different methods of feedback and assessment 
o  Describes the education, training and assessment 
requirements of TEAP 
o  Describes differences between competency based and 
didactic training"
"2.3.1.1 Demonstrate 
an understanding of 
the principles of 
survey meters","o  MSc coursework 
o  Read and summarize references 
o  Attend training day / tutorial","o  MSc course notes 
o  Report","o  RPL 
o  Q&A session with 
assessor","o  Explains principles of: 
o  Geiger counter 
o  proportional counter 
o 
ion chamber survey meter 
o  neutron meter 
o  environmental survey dosimeters e.g. TLD, film 
o 
Identifies 
o 
fault modes 
o 
limitations of each device for surveys of different 
equipment 
o 
Sketches and explains key features of signal vs. voltage 
graph for gas filled detector"
"2.3.1.2 Identify 
radiation detectors 
in the department","o  Report on the available radiation detection 
devices in the department and the appropriate 
use of the devices",o  List of detectors,"o  Review of list by 
assessor","o  List includes: 
o  detector name & model 
o 
location of detector 
o 
location of manuals/calibration certificates 
o  serial number 
o 
type of detector (e.g. Geiger counter, ion chamber, 
neutron meter) 
o  uses (e.g. shielding survey, detection of radioactivity)"
"2.3.1.3 Demonstrate 
an understanding of 
the calibration of 
survey meters","o  Audit departmental meters for current 
calibration certificate  
o  Arrange for calibration of survey meter or 
review procedure for doing this 
o  Attend training day/tutorial","o  Audit results. 
o 
Summary of 
calibration 
procedure. 
o  Training 
attendance 
records",o  Report,"o  Report includes 
o  Calibration methodology 
o  Calibration frequency 
o  Uncertainty analysis 
o  Range of validity of the calibration"
"4.6.2.2 Perform 
commissioning tests 
for a kilovoltage 
therapy unit","o  Read and summarise references. 
o  Read previous departmental commissioning 
reports. 
o  Perform commissioning tests on a new or 
upgraded kV unit or repeat commissioning 
procedure for an existing system","o
o  Summary notes. 
  Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the relevance of each major step in the 
commissioning procedure including: 
o  Selection of equipment 
o  Radiation safety and surveys 
o  Mechanical tests of system and applicators 
o  Data for treatment planning 
o  Reference calibrations 
o  End to end testing 
o  Independent checks 
o  Setup of QA baselines 
o  Staff training 
o  Documentation 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., CAPCA 2005, Van Dyk §9.4.2 and §9.5.2 or 
departmental protocol 
o  Justifies choice of use of measured or published data, e.g., 
PDD, BSF 
o  Draws appropriate conclusions from results 
o  Identifies limitations and tolerances 
o  Explains relationship between commissioning tests and 
ongoing QA."
"4.6.2.3 Perform QA 
for a kilovoltage 
therapy unit","o  Read and summarise references. 
o  Read previous departmental QA reports and 
protocols. 
o  Perform regular (e.g., daily, weekly, monthly, 
annual) QA on a kV unit  
o  Review common faults and interlocks 
encountered on the unit and corrective action 
taken","o  Summary notes. 
o  QA report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the role of a QA program and its relevance to 
patient outcomes 
o  Identifies roles of multidisciplinary team in QA, e.g. AAPM 
TG40. 
o  Explains purpose of QA tests and their tolerances 
o  Explains test frequency and relationship between daily, 
medium and longer term QA. 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. CAPCA 2005, Van Dyk §9.4.3 and §9.5.3, 
ACPSEM 1997 Table A3 
o  Draws appropriate conclusions from results"
"6.7.3.3 Provide 
advice on imaging 
modalities for 
brachytherapy","o  Provide advice in mock or real situations for 
incorporating a new imaging modality into an 
existing service, e.g., moving from 2D to 3D 
gynaecological cancer planning 
o  Review existing protocols and make 
recommendations 
o  Commission a new imaging system for 
brachytherapy or repeat commissioning for 
existing system 
o  Resolve imaging issues in brachytherapy 
o  Participate in research projects related to 
brachytherapy imaging 
o  Provide advice for the purchase of a new 
imaging system taking account of current and 
future requirements","o  New protocol, 
protocol review 
and written or 
oral report.","o  Review and Q&A 
with Assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Make recommendations for the safe and optimal clinical use 
of images in brachytherapy 
o  Exercises judgement regarding safe application of 
brachytherapy imaging modalities in clinical situations 
o  Applies prior knowledge to unfamiliar situations and 
recognises limitations"
"6.7.3.4 Perform 
quality management 
for a brachytherapy 
treatment planning 
system","o   Analyse an existing acceptance, commissioning 
and ongoing QA program and make 
recommendations or develop a new program 
for a brachytherapy TPS.  
o  Provide advice on TPS QM in mock or real 
situations, e.g. introduction of HDR into a 
department with only LDR brachytherapy","o  New program or 
report 
summarizing 
recommendations","o  Review of 
program or report 
by assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Able to perform  quality management for a clinical 
brachytherapy treatment planning system under minimal 
supervision 
o   Understands potential limitations of TPS and advises on 
clinical impact  
o  Makes recommendations for the safe and optimal clinical 
use of TPS 
o  Demonstrates appropriate quality management processes 
for the TPS 
o  Refers to literature to support conclusions 
o  Applies prior knowledge to unfamiliar situations and 
recognises limitations"
"3.5.2.2 Analyze the 
uncertainty of in-
vivo dose 
measurements","o  Literature review 
o  Assessment of departmental results for 
reproducibility, sources of Type A and Type B 
errors. 
o  Compare measurements made via different 
techniques","o  Written report, 
logbook notes on 
patient results","o  Assessor review 
of report.  Q & A 
with assessor.","o 
Identifies key sources of uncertainty such as: 
o  Selecting valid reference point on treatment plan 
(avoiding high dose gradient, at appropriate depth to 
match detector buildup) 
o  Positioning dosimeter at point on skin that can be related 
to the reference point  
o  Dosimeter related: spatial resolution, energy 
dependency, directionality, temperature dependence, 
reproducibility, radiation damage, calibration   
o  Patient related:  movement, oblique incidence, tissue 
inhomogeneities,  immobilization 
o  Estimates uncertainty for individual patients and patient 
groups. 
o 
Suggests methods to reduce uncertainty 
o  Understands how uncertainty in measurement impacts on 
clinical decision making"
"3.5.3.1 Perform in-
vivo dosimetry 
quality management 
for individual 
patients and patient 
groups","o  Critique the use of in-vivo dosimetry for one or 
more of the following: 
o  Lens of the eye 
o 
In field measurements such as  TBI, small 
field electrons, TSET, electron arcs 
o  Pacemaker 
o 
Junction dose  
o  New treatment techniques 
o  Propose an improvement (expansion or 
reduction)   to an existing in-vivo dosimetry 
service. 
o  Develop and document a procedure for in-vivo 
dosimetry 
o  Commission an in-vivo dosimetry system. 
o  Manage an in-vivo dosimetry system.  
o  Provide advice to other professional groups on 
the suitability of in-vivo dosimetry requests 
o  Review existing in-vivo dosimetry practice with 
aim of determining its accuracy, precision and 
clinical utility","o 
Internal report 
o  Oral presentation 
o  Departmental 
procedure","o  Assessor review 
of report. 
o  Q&A with 
assessor or 
physics group.","o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"7.1.1.1 Describe the 
role of medical 
physicists and 
professional medical 
physics 
organizations","o  Review and report on the scope of practice and 
career structure of ROMPs and how TEAP 
relates to this  
o  Draw an organizational chart summarising the 
radiation oncology department’s staff structure, 
including registrars. 
o  Define own career plan and develop a CV. 
o  Review and report on the structure of the 
ACPSEM, including the roles and 
responsibilities of key committees, office 
bearers and staff  
o  Review the role arrangements of the 
Radiotherapy Tripartite (RANZCR, ACPSEM, 
AIR) 
o  Review and report on professional, regulatory 
and standards organizations  relevant to ROMPs 
o  Keep a record of ongoing topical issues related 
to ROMPs 
o 
Join a professional medical physics organization 
and actively participate  
o  Complete Assignment 7.1 from Moodle 
o  Review International Labour’s definition of 
Medical Physicist 
o  Review IOMP, AFOMP,  IAEA and AAPM Policy 
documents such as the IAEA Human Health 
Series #25, Roles and Responsibilities, and 
Education and Training Requirements for 
Clinically Qualified Medical Physicists 
o  Become familiar with the TEAP syllabus for 
Diagnostic Medical Imaging","o  Organizational 
chart of 
department 
o  Career plan and 
up to date CV 
o  Evidence of 
membership of 
professional 
organizations 
o  Evidence of 
participation in 
and contribution 
to professional 
activities  
o 
Short report or 
oral presentation 
comparing role 
and structure of 
different 
professional 
organizations 
o  Reflective writing 
on ROMP topical 
issues 
o  Completed 
assignment 7.1 
from Moodle","o  Review of 
evidence 
o  Q&A with 
assessor","o  Explains roles, responsibilities and reporting lines for self 
and other  ROMPs within the department 
o  Explains roles and responsibilities for other physicists and 
engineers in clinical settings, such as DIMPs 
o  Describes how the components of TEAP contribute to the 
development of the skills, knowledge and attitudes required 
to practice as a professional ROMP (e.g. Brian Thomas talk) 
o  Describes broad structure and key activities of ACPSEM (e.g. 
with reference to the ACPSEM mission statement) 
o  Lists key professional organizations of relevance to ROMPs 
(other than the ACPSEM) and describes their main activities 
(including other professional groups) 
o  Describes links between national and international 
professional organizations such as ACPSEM, AAPM, AFOMP, 
IPEM, IOMP etc. and regulatory and standards organizations 
such as the IAEA, ICRU, ICRP, NRL and ARPANSA,."
"5.5.2.4 Perform 
dosimetric 
measurements to 
verify the accuracy of 
treatment plans for 
individual patients","o  Transfer patient plans to a phantom geometry, 
and calculate dose for comparison with 
measurement 
o  Perform dose measurements (point dose and 
dose plane) and carry out the required analysis 
according to departmental protocols. 
o  Examples could include patient specific QA for 
IMRT, VMAT, gated therapies, junctional fields.","o  Completed 
departmental 
worksheets 
showing 
measurement and 
analysis","o  Demonstration to 
supervisor","o  Follows departmental protocol or suitable published 
protocol, e.g. AAPM TG 119 
o  Uses TPS tools to transfer plans to the appropriate phantom 
o  Exports dose information in form suitable for comparison 
with measurement (e.g. point doses, fluence maps, planar 
dose distributions) 
o 
Selects suitable phantom and measurement equipment and 
justifies choice 
o  Meets general criteria for practical work 
o 
Interprets results, identifying when results are outside 
tolerance limits 
o  Follows up out of tolerance results in accordance with 
departmental protocol"
"5.5.3.1 Perform and 
provide scientific 
advice on quality 
management of 
treatment plans","o  Perform plan checking for clinical patients  
o  Resolve discrepancies between TPS and 
independent MU check system 
o  Routinely perform dosimetric verification of 
treatment plans for clinical patients  
o  Develop protocols for quality management of 
individual treatment plans 
o  Analyze existing treatment planning quality 
management protocols against international 
standards and make recommendations. 
o  Represent physics on multi-disciplinary teams 
working on changes to treatment planning QC 
(e.g. the elimination of paper records) 
o  Provide advice to RTs and ROs on use and 
limitations of plan checking systems, in mock 
scenario if necessary 
o  Audit departmental planning practice for a 
patient group against published benchmarks 
and make recommendations 
o  Participate in an independent audit of local 
treatment planning protocols/plans","o  QC protocol 
designed by 
registrar or 
critical review of 
existing protocols 
o  Meeting minutes 
or MDT report 
o  Departmental 
memos or 
protocols.   
o  Presentations to 
department on 
TPS limitations","o 
Supervisor review 
of evidence plus Q 
& A session 
o  Mock exam 
scenario","o  Critically analyses the plan as a whole and not just each 
check item 
o  Understands purpose of planning QC protocols 
o  Understands the importance of different checks and the 
impact of treatment planning errors on dose delivered to the 
patient 
o  Understands the origin and process of establishment of 
action levels. 
o  Provides quantitative estimates of the impact of TPS 
limitations for a given treatment plan. 
o  Explains sources of discrepancy between TPS and 
independent checks, and provides appropriate advice for 
treatment (supported by measurement, if required) 
o  Explains the uncertainties that contribute to difference 
between planned and delivered dose to the patient (e.g. 
weight change, etc.).  
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"5.3.3.1 Provide 
scientific advice  for 
the safe and optimal 
practice of external 
beam radiotherapy 
treatment planning","o  Provide physics support in the development of  
a new departmental planning protocol (see also 
Competency 5.4) 
o  Review existing protocols and make 
recommendations 
o  Provide advice to clinicians and therapists on 
planning issues, such as 
o  contrast media 
o  normalization point positioning  
o 
junctions 
o  non-tissue equivalent implanted materials 
such as prostheses, dental fillings, cochlear 
implants and high density ports on breast 
expanders 
o  small fields  
o  electron oblique fields 
o 
IMRT / VMAT 
o  re-treatments 
o 
imaging artifacts and density overrides 
o 
technical and IT support 
o  use of bolus 
o 
impact of treatment accessories on skin 
dose, dose to target and monitor units 
o  Assess accuracy of TPS in calculating doses 
outside the field edge, and discuss the 
implications for estimation of dose to critical 
structures such as the lens, pacemakers, 
defibrillators and foetus.   
o  Compare/contrast brachy vs. kV vs. photons vs. 
electrons for “difficult’ cases e.g. scalp, bridge of 
nose, penis 
o  Participate in research projects related to 
treatment planning 
o  Explain rationale for modifications to standard 
plans for specific cases 
o  Perform evidence based evaluation of site 
specific treatment margins including  setup 
accuracy study 
o  Analyse the uncertainties involved in the 
planning process and suggest how planning 
practice could be improved to reduce 
uncertainty 
o  Assess a local planning protocol’s compliance 
with clinical trial requirements","o  New protocol, 
protocol review 
and written or 
oral report.","o  Review and Q&A 
with Assessor","o   Understands sources of uncertainty in treatment planning 
and advises on clinical impact  
o  Makes recommendations for the safe and optimal practice of 
external beam radiotherapy treatment planning 
o  Refers to literature to support conclusions 
o  Provides appropriate clinical advice 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"3.3.2.4 Determine 
absorbed dose under 
reference conditions","o  Measure absorbed dose under reference 
conditions for: 
o  MV photons 
o  MV electrons 
o  kV photons 
o  Review uncertainty discussions in TRS 398 and 
standards lab documentation.","o  Records of 
absorbed dose 
determination","o  Observation and 
Q&A with 
assessor","o  Meets general criteria for practical work. 
o  Experimental setup conforms with recommendations in 
relevant code of practice 
o  Corrects for influence quantities and identifies the 
conditions on which they depend (e.g., temperature, 
pressure, dose rate and dose per pulse). 
o  Correct calculation of absorbed dose at measurement point  
o  Corrects to dose at departmental reference conditions (via 
PDD, TMR as appropriate) 
o  Compares  measured absorbed dose with expected value, 
knows applicable tolerance & identifies action to be taken if 
values outside tolerance 
o  Derives benchmark values for routine QA checks of 
absorbed dose (e.g. for daily QA by RTs or monthly QA by 
physicists) 
o 
Identifies sources of uncertainty throughout  the dosimetry 
chain and is aware of their magnitude"
"3.3.3.1 Perform 
absorbed dose 
determination in 
external beam 
radiotherapy 
according to 
established protocols","o  Develop new absorbed dose protocol for 
department 
o  Review existing protocols and make 
recommendations 
o  Manage review of dosimetry after recalibration 
of reference chamber 
o  Respond to faults and perform tests to perform 
a treatment unit to service after repairs in real 
or mock exam scenario 
o  Audit dose for a treatment unit at another 
department 
o  Lead department’s participation in multi-centre 
dosimetry intercomparisons 
o  Work with external regulators during 
dosimetry audits   
o  Correlate regular and annual dosimetry 
measurements and analyse Type A and Type B 
errors. 
o  Compare and contrast different dosimetry 
protocols – select one or more from the list 
below: 
o  398 vs. AAPM TG 51 
o  TRS 398 vs. IPEMB vs. AAPM TG61 for 
kilovoltage 
o  TRS398 vs. older protocols TRS 277 & 381","o  New protocol 
o  Protocol review 
o  Written or oral 
report.","o  Review and Q&A 
with Assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Meets general criteria for practical work 
o  For participation in audits: 
o  Discusses audit outcomes with auditors/regulators  
o  Ability to write QA audit report"
"6.6.1.4 Describe the 
principles and 
operation of LDR 
brachytherapy 
source delivery 
systems","o  Read and summarise textbooks and manuals 
o  Observe an LDR brachytherapy prostate 
procedure in a clinical department 
o  Review LDR procedures for temporary implants 
e.g. eye plaques","o 
Summary notes. 
o  Logbook.","o  Review 
notes/logbook 
and Q&A with 
Assessor.","o  For LDR prostate permanent seed implants describes  
o  radiation safety systems, source handling, shielding,  
o  different source delivery systems, including: 
o  manual loading 
o 
robotic loading including position calibration 
o  catheters and ancillary equipment such as jigs and 
templates 
o  For temporary LDR (eg eye plaques), describes radiation 
safety systems, source handling, shielding and applicators"
"6.6.2.1 Participate in 
quality management 
of LDR prostate 
sources","o  Read and summarise references. 
o  Participate in and/or observe LDR prostate 
seed management including  
o  Seed ordering and receiving 
o  Storage 
o  Loading 
o  Calibration/verification 
o 
Implantation 
o  Post implant follow up 
o  Seed inventory and disposal","o 
Summary notes. 
o  Logbook.","o  Observation 
o  Review 
notes/logbook 
and Q&A with 
Assessor.","o  Explains significance of LDR prostate seed management and 
radiation safety implications of: 
o  Seed ordering and receiving 
o  Storage 
o  Loading 
o  Calibration/verification 
o 
Implantation 
o  Post implant follow up 
o  Seed inventory and disposal 
o  Participates in source calibration/verification tests and 
measurements listed in a suitable protocol, e.g. ACPSEM 
1997 Table A7 and A8, AAPM TG-56, CAPCA 
o 
Identifies which source strength value is entered into the 
TPS e.g. Measured or calibration certificate"
"6.6.2.2 Participate in 
implementation of 
LDR prostate 
brachytherapy 
imaging equipment 
for implantation","o  Read and summarise references. 
o 
In a clinical centre or workshop, participate in: 
o  calibration of the template system  
o  stepper stabiliser setup","o 
Summary notes. 
o  Logbook. 
o  Completion of 
work as part of 
HDR prostate 
procedures","o  Review 
notes/logbook 
and Q&A with 
Assessor. 
o  Recognition of 
prior learning","o  Discusses the application of imaging modalities in LDR 
prostate brachytherapy implant procedures including 
ultrasound and fluoroscopy   
o  Discusses considerations of staff and patient safety in the 
use of imaging 
o  Explains how the ultrasound system and stepper 
stabilisation device are used to acquire a 3D volume 
o  Explains the significance of template calibration including 
the effects of geometric distortion 
o 
Identifies the impact on quality of ultrasound images due to 
loss of contact between probe and tissue surface, artefacts 
due to air & seeds,  image noise, probe frequency"
"5.1.2.5 Assess 
limitations and risks 
associated with use 
of TPS","o  Perform literature review on accuracy of TPS 
dose calculation. 
o  Research incidents/accidents linked to TPS 
o 
Identify potential sources of error and 
uncertainty and their magnitude, associated 
with  
o  Patient data 
o  Beam data 
o  Dose calculation algorithms 
o  Data transfer 
o  Assist with the writing of clinical release notes 
for a new TPS or algorithm upgrade advising 
department on changes and/or limitations.","o  Literature review 
o  Report on errors  
and incidents 
o  Clinical release 
notes","o  Review reports 
o  Q& A with 
assessor.  
o  May be assessed 
in conjunction 
with 5.1.2.2, 
5.1.2.3 and 5.1.2.4.","o  Performs research to identify potential limitations of the 
TPS  
o 
Identifies and describes key sources of uncertainty and 
provides realistic estimate of magnitude. 
o  Relates errors and uncertainties in TPS to patient outcome 
o 
Suggests strategies to reduce uncertainty and the possibility 
of error."
"5.1.3.1 Perform 
quality management 
and provide 
scientific advice on 
an external beam 
radiotherapy 
treatment planning 
system","o  Participate in managing the acceptance and 
commissioning of a new or upgraded TPS 
o  Participate in managing the commissioning of a 
new technique on an existing TPS (see also 
competency 5.4). 
o  Provide advice for the purchase of a new or 
upgraded TPS taking future requirements into 
consideration. 
o  Develop a new QA program for a TPS or analyse 
an existing QA program and make 
recommendations  
o 
Investigate the accuracy of a dose calculation 
algorithm on a TPS and make 
recommendations. 
o  Participate in audits of TPS accuracy as part of 
clinical trial QA 
o  Respond to TPS faults  
o  Perform TPS quality management tasks such as: 
o  processing manufacturer technical bulletins, 
advisory notes and product corrections 
o  developing procedures for system 
administration tasks such as data transfer, 
archival and storage 
o  keeping records of quality management 
activities such as release of new versions, 
guidelines on use of equipment or 
limitations, system changes and upgrades, 
vendor communications, QA audits, 
monitoring of fault logs etc. 
o  Train others in TPS quality management","o  New program or 
protocol, or 
report 
summarizing 
recommendations
.","o  Review of 
program or report 
by assessor","o   Understands potential limitations of TPS and advises on 
clinical impact  
o  Makes recommendations for the safe and optimal clinical 
use of TPS 
o  Demonstrates appropriate quality management processes 
for the TPS 
o  Refers to literature to support conclusions 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"8.3.1.3 Understand 
how MRI images are 
used in the 
management of 
cancer","o  MSc coursework. 
o  Read and summarise references, e.g. studies of 
the impact of MRI and other imaging modalities 
on cancer management, such as RCR2004 
Imaging for Oncology. 
o  Observe MRI imaging for diagnosis, staging, 
treatment planning, image guided therapy and 
monitoring 
o  Attend multi-disciplinary case review meetings 
o  Patient case study 
o  Observe diagnostic imaging procedures for 
different body sites and with different imaging 
modalities to gain an understanding of which 
aspects of image quality are clinically important.  
Discuss with a radiologist, a DIMP and/or 
diagnostic radiographer.  Observe a radiologist’s 
reporting session if possible.","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes how MRI is used in the management of cancer, for 
example, in diagnosis, staging, treatment planning, image-
guided therapy and monitoring.  
o  Discusses the pros and cons of MRI in the management of 
cancer 
o  Illustrates this by describing at least two clinical scenarios 
where MRI is used 
o  Gives a few examples of function/spectroscopic applications 
to oncology 
o  Describes gated MRI techniques"
"5.3.2.3 Understand 
all procedures 
required before plan 
proceeds to clinical 
treatment.","o  Complete documentation required for 
treatment 
o  Follow patients from planning to treatment, 
identifying: 
O   how patient setup procedures impact on 
planning and  treatment  
O   the importance of the R&V system 
O   the roles of multi-disciplinary team 
members in each part of the process 
o  Review ARPANSA RPS14.3 Safety Guide and/or 
NRL Code of Practice C12 recommendations for 
external beam treatment planning4.   
o  Audit departmental procedures against RPS 
14.3 or NRL recommendations","o  Completed 
documentation 
o  Audit report","o  Review 
documentation 
and Q&A with 
Assessor.","o  Completes treatment documentation  
o  Understands appropriate authorization before treatment 
commences 
o  Explains how patient setup information is transferred from 
imaging, through planning to treatment, including the 
record and verify system. 
o  Understands the complete chain to ensure safe delivery of 
treatment 
o  Understands the importance of each step in the chain 
o  Understands the role of the multi-disciplinary  team 
members in each step of the chain"
